Date;ADOBE_INC_USD;AIR_LIQUIDE_SA;ALIBABA_GROUP_HOLDING_LTD_REPR__8SH;ALLIANZ_SE;AMAZON_COM_INC_USD;AMUNDI_IS_GOVT_BOND_LOWEST_RATED;ANHEUSER BUSH_INBEV;ARCELORMITTAL_SA;ATOS_SE;AXA_SA;BERKSHIRE_HATHAWAY_INCB _USD;BLACKROCK_GF_SUSTAINABLE_ENERGY;BROWN_ADVISORY US_SUSTAINABLE_GROWTH_FD;CADEUR_Curncy;CANDRIAM_SRI_BOND_GLOBAL_HIGH_YIELD;CANDRIAM_SRI_EQUITY_EMERGING_MARKETS;CHFEUR_Curncy;COMGEST_GROWTH_EUROPE;DKKEUR_Curncy;ENBW_ENERGIE_BADEN _3_625%_2014 76_02APR;ENEL_S_P_A_;ENGIE_SA;EUR_Curncy;FFG_SICAV_GLOBAL_FLEXIBLE SUSTAINABLE;FLOSSBACH_VS MULTIPLE_OPPORT__II__D_SHS;GAM_MULTIBOND LOCAL_EMERGING_BOND;GBPEUR_Curncy;GLENCORE_FUNDING_LLC_3%_2017 22_27APR;GROUPE_BRUXELLES_LAMBERT_SA;ING_ARIA_CORPORATE_+_R_CAP;ING_ARIA_SUSTAINABLE_BONDS_R;ING_ARIA EURO_SHORT_DUR_RET_BD_R_CAP;INVESCO_FS_ASIAN_EQUITY_FUND;INVESCO_PHYSICAL_GOLD_USD;ISHARES_II__GLOBAL_WATER_UCITS_EUR;ISHARES_PLCCORE_S&P_500_UCITS_ETFUSD;ISHARES_V S&P_500_FINANCIALS_SECTOR;IVO_FUNDS_FIXED_INCOME;JPMORGAN_CHINA_A SHARE_OPPORTUNITIES;JPMORGAN_EMERGING_MARKETS_SUSTAINABLE;JPMORGAN_JAPAN_EQUITY_EUR;JUST_EAT_TAKEAWAY_COM_N_V;KBC_GROUP_SA NV;LVMH_MOET_HENNESSY_LOUIS_VUITTON_SE;LYXOR_IF_EURO_6M;MAINFIRST_SIC_TOP_EUROPEAN_IDEAS;MCDONALD'S_CORP_USD;MEDTRONIC_PLC_USD;MERCK_&_CO_INC_USD;MICHELIN_SA_ORD;MICROSOFT_CORP_USD;MULTI_ULS_LYXOR_EURO_STOXX_BANKS;NOKEUR_Curncy;NORDEA_1_EMERGING_MARKET_BOND;PEPSICO_INC_USD;PICTET_DIGITAL;PIMCO_FGIS_EMERGING_MARKETS_BONDS_ESG;POLAR_CF_PLC_GLOBAL_TECHNOLOGY_FUND;PRINCIPAL_GIF PREFERRED_SECURITIES;QUALCOMM_INC;ROCHE_HOLDING_LTD_CHF;ROYAL_DUTCH_SHELL_PLCA _EUR;ROYAL_PHILIPS_NV;SALESFORCE_COM_INC_USD;SEKEUR_Curncy;SOLVAY_SA;SSGA_SPDR_EUROPE S&P_US_DIVI_ARISTOUSD;THREADNEEDLE_LUXGLOBAL_EQUITY_INCOME;THREADNEEDLE_LUX PAN_EUROPEAN_SMALL;TOTALENERGIES_SE;UBAM_SICAV_POSITIVE_IMPACT_EQUITY;UBS_LUX_EQUITY_ALL_CHINA_USD;UNILEVER_PLC_EUR;USDEUR_Curncy;VEOLIA_ENVIRONNEMENT_SA;VISA_INCA _USD;WELLINGTON_MF GLOBAL_HEALTH_CARE_EQUITY
24/12/2020;499.86;164.65;222;245.9;3172.69;263.7573;69.51;19.01;89.5;22.95;226.53;15.84;19.82;0.638;1139.69;146.33;0.9209;32.14;0.1344;101.001;8.271;12.6;1.2187;119.9;152.52;319.47;1.1109;103.94;99.25;719.32;603.42;101.59;8.58;181.565;54.1825;36.4467;7.891;121.14;38.97;128.93;15.38;110.75;58.56;602.04;997.9019;110.93;211.39;114.03;76.4156;131.1;222.75;70.968;0.0947;147.04;145.06;519.52;18.06;82.89;12.39;148.79;336.2;17.91;52.35;225.78;0.09936;106.3922;57.8089;10.8958;11.8256;41.59;129.12;141.6;58.01;0.8206;22.8991;208.7;49.1041
25/12/2020;499.86;164.65;222;245.9;3172.69;263.7573;69.51;19.01;89.5;22.95;226.53;15.84;19.82;0.6375;1139.69;146.33;0.9218;32.14;0.1344;101.001;8.271;12.6;1.2193;119.9;152.52;319.47;1.1122;103.94;99.25;719.32;603.42;101.59;8.58;181.565;54.1825;36.4467;7.891;121.14;38.97;128.93;15.38;110.75;58.56;602.04;997.9019;110.93;211.39;114.03;76.4156;131.1;222.75;70.968;0.0951;147.04;145.06;519.52;18.06;82.89;12.39;148.79;336.2;17.91;52.35;225.78;0.09901;106.3922;57.8089;10.8958;11.8256;41.59;129.12;141.6;58.01;0.8201;22.8991;208.7;49.1041
26/12/2020;499.86;164.65;222;245.9;3172.69;263.7573;69.51;19.01;89.5;22.95;226.53;15.84;19.82;0.6375;1139.69;146.33;0.9218;32.14;0.1344;101.001;8.271;12.6;1.2193;119.9;152.52;319.47;1.1122;103.94;99.25;719.32;603.42;101.59;8.58;181.565;54.1825;36.4467;7.891;121.14;38.97;128.93;15.38;110.75;58.56;602.04;997.9019;110.93;211.39;114.03;76.4156;131.1;222.75;70.968;0.0951;147.04;145.06;519.52;18.06;82.89;12.39;148.79;336.2;17.91;52.35;225.78;0.09901;106.3922;57.8089;10.8958;11.8256;41.59;129.12;141.6;58.01;0.8201;22.8991;208.7;49.1041
27/12/2020;499.86;164.65;222;245.9;3172.69;263.7573;69.51;19.01;89.5;22.95;226.53;15.84;19.82;0.6375;1139.69;146.33;0.9218;32.14;0.1344;101.001;8.271;12.6;1.2193;119.9;152.52;319.47;1.1122;103.94;99.25;719.32;603.42;101.59;8.58;181.565;54.1825;36.4467;7.891;121.14;38.97;128.93;15.38;110.75;58.56;602.04;997.9019;110.93;211.39;114.03;76.4156;131.1;222.75;70.968;0.0951;147.04;145.06;519.52;18.06;82.89;12.39;148.79;336.2;17.91;52.35;225.78;0.09901;106.3922;57.8089;10.8958;11.8256;41.59;129.12;141.6;58.01;0.8201;22.8991;208.7;49.1041
28/12/2020;498.95;164.65;222.36;248.52;3283.96;264.13;69.2;19.07;89.5;24.255;228.41;16.08;19.86;0.6372;1141.94;146.66;0.9212;32.14;0.1344;101.001;8.345;12.9;1.2216;120.2;152.25;319.16;1.1011;104.024;99;719.81;604.04;101.6;8.58;181.565;54.1825;37.55;7.92;121.42;39.31;128.77;15.47;112.9993;58.34;618.46;997.8544;111.41;214.02;115.13;76.7112;131.1;224.96;70.65;0.0948;147.04;146.91;517.58;18.06;82.89;12.39;147.74;344;17.9;54.515;224.64;0.09891;106.3922;57.8;10.9898;11.879;45.39;130.21;140.13;58.105;0.8187;22.8991;212.63;49.1041
29/12/2020;502.11;167.1638;236.26;247.195;3322;264.2071;70.77;18.966;89.5;24;229.57;16;19.8;0.6368;1137.87;146.59;0.9235;32.14;0.1344;100.986;8.276;12.755;1.2249;120.9;153.01;320.22;1.1023;103.988;102.15;720.29;604.34;101.61;8.61;182.385;54.1825;37.35;7.954;121.41;39.24;129.47;15.76;112.9993;58.16;631;997.9396;112.29;212.71;115.57;77.6361;131.1;224.15;70.299;0.0947;147.29;147.42;521.21;18.07;82.89;12.39;148.49;349;18.06;54.77;222.46;0.09947;106.3922;58.4793;11.0164;12.031;44.21;130.79;140.98;59.7575;0.8163;22.8991;214.37;48.9145
30/12/2020;497.45;167.06;238.39;246;3285.85;264.23;71.16;19.164;89.5;23.751;229.65;16.16;19.89;0.6375;1138.7;149.06;0.9225;32.54;0.1344;100.933;8.276;12.695;1.2298;120.98;153.48;321.16;1.1078;103.888;102.15;720.18;604.25;101.6;8.76;182.69;55.99;37.2537;7.99;121.59;40.16;131.34;15.74;112.9993;58.48;630;997.8605;112.6;211.56;115.64;76.8447;131.1;221.68;70.02;0.0952;147.48;147.31;525.89;18.09;83.17;12.41;149.95;348.3;17.88;54.75;222.4;0.09919;106.3922;58.4793;11.0068;11.9957;42.25;131.38;143.87;61.945;0.813;22.8991;218.36;49.0544
31/12/2020;500.12;167.06;232.73;238.55;3256.93;264.66;70.43;18.88;89.5;23.22;231.87;16.08;20.01;0.6429;1138.37;149.06;0.9251;32.47;0.1344;100.967;8.276;12.52;1.2216;121.03;153.48;321.19;1.1185;104.026;102.15;720.32;604.33;101.61;8.82;183.45;55.99;37.2537;7.99;121.58;40.91;131.78;15.74;112.9993;57.28;626;997.8496;112.6;214.58;117.14;77.9984;125.5;222.42;70.11;0.0954;147.57;148.3;526.06;18.1;83.17;12.42;152.34;339;17.54;54.76;222.53;0.0995;106.3922;58.4;11.0755;11.9849;44.72;131.78;145.76;61.945;0.8186;24.5285;218.73;49.1465
01/01/2021;500.12;167.06;232.73;238.55;3256.93;264.66;70.43;18.88;89.5;23.22;231.87;16.08;20.01;0.6432;1138.37;149.06;0.924;32.47;0.1344;100.967;8.276;12.52;1.2215;121.03;153.48;321.19;1.1185;104.026;102.15;720.32;604.33;101.61;8.82;183.45;55.99;37.2537;7.99;121.58;40.91;131.78;15.74;112.9993;57.28;626;997.8496;112.6;214.58;117.14;77.9984;125.5;222.42;70.11;0.0955;147.57;148.3;526.06;18.1;83.17;12.42;152.34;339;17.54;54.76;222.53;0.09964;106.3922;58.4;11.0755;11.9849;44.72;131.78;145.76;61.945;0.8187;24.5285;218.73;49.1465
02/01/2021;500.12;167.06;232.73;238.55;3256.93;264.66;70.43;18.88;89.5;23.22;231.87;16.08;20.01;0.6432;1138.37;149.06;0.924;32.47;0.1344;100.967;8.276;12.52;1.2215;121.03;153.48;321.19;1.1185;104.026;102.15;720.32;604.33;101.61;8.82;183.45;55.99;37.2537;7.99;121.58;40.91;131.78;15.74;112.9993;57.28;626;997.8496;112.6;214.58;117.14;77.9984;125.5;222.42;70.11;0.0955;147.57;148.3;526.06;18.1;83.17;12.42;152.34;339;17.54;54.76;222.53;0.09964;106.3922;58.4;11.0755;11.9849;44.72;131.78;145.76;61.945;0.8187;24.5285;218.73;49.1465
