,Pattern,Start_bar,End_bar
0,TTOP,64,92
1,RTOP,87,98
2,RTOP,204,235
3,RTOP,220,242
4,BBOT,88,101
5,BBOT,186,213
6,BTOP,92,122
7,HS,189,220
8,IHS,259,280
9,TBOT,280,294
