,Pattern,Start_bar,End_bar
0,RBOT,7,21
1,HS,31,43
2,HS,92,116
3,HS,143,158
4,HS,164,179
5,HS,193,211
6,HS,227,253
7,RTOP,37,52
8,RTOP,149,164
9,RTOP,158,171
10,RTOP,171,193
11,RTOP,179,200
12,RTOP,200,220
13,RTOP,220,239
14,RTOP,253,275
15,RTOP,319,345
16,IHS,39,59
17,IHS,70,98
18,IHS,114,144
19,IHS,156,168
20,IHS,177,197
21,IHS,206,225
22,IHS,232,261
23,IHS,312,339
24,BTOP,67,92
25,BTOP,305,337
26,TTOP,211,227
27,TTOP,239,263
28,TBOT,217,232
