,Pattern,Start_bar,End_bar
0,IHS,9,38
1,IHS,88,106
2,IHS,312,336
3,IHS,336,359
4,TTOP,21,42
5,TTOP,78,91
6,TBOT,73,88
7,RTOP,87,101
8,RTOP,234,249
9,RTOP,249,282
10,RTOP,291,317
11,RTOP,304,326
12,RTOP,326,357
13,HS,91,109
14,HS,242,269
15,RBOT,106,136
16,RBOT,126,156
17,RBOT,245,277
18,RBOT,277,302
19,RBOT,290,312
