,Pattern,Start_bar,End_bar
0,HS,43,78
1,HS,100,130
2,IHS,74,94
3,IHS,94,128
4,IHS,128,151
5,IHS,190,212
6,TTOP,78,100
7,TTOP,179,193
8,RTOP,126,147
9,RTOP,189,206
10,RTOP,193,218
11,RTOP,206,233
12,RTOP,305,330
