,Pattern,Start_bar,End_bar
0,RTOP,114,126
1,RTOP,120,133
2,RTOP,133,151
3,IHS,116,129
4,IHS,129,148
5,IHS,157,172
6,IHS,207,224
7,BTOP,126,142
8,HS,142,158
9,HS,241,267
10,HS,288,309
11,TTOP,212,228
12,TTOP,298,318
13,TBOT,294,311
14,TBOT,303,319
