,Pattern,Start_bar,End_bar
0,HS,25,37
1,HS,225,256
2,HS,298,324
3,BTOP,64,86
4,BTOP,193,207
5,BTOP,199,225
6,TBOT,74,107
7,TBOT,127,156
8,RTOP,144,172
9,BBOT,197,217
10,IHS,206,228
11,IHS,281,303
