,Pattern,Start_bar,End_bar
0,HS,43,78
1,IHS,74,94
2,IHS,94,127
3,IHS,127,150
4,IHS,185,211
5,TTOP,78,99
6,RTOP,126,147
7,RTOP,179,206
8,RTOP,186,217
9,RTOP,206,233
10,RTOP,304,330
