,Pattern,Start_bar,End_bar
0,RTOP,1,17
1,RTOP,126,142
2,RTOP,134,149
3,RTOP,149,164
4,RTOP,164,179
5,RTOP,172,185
6,RTOP,179,191
7,RTOP,211,239
8,RTOP,254,276
9,BTOP,86,109
10,BTOP,185,211
11,BTOP,191,225
12,BTOP,310,343
13,BBOT,88,121
14,BBOT,186,218
15,HS,94,126
16,HS,142,158
17,HS,158,172
18,HS,225,254
19,HS,263,283
20,IHS,121,137
21,IHS,156,169
22,IHS,249,267
23,IHS,280,312
24,RBOT,137,156
25,RBOT,231,261
26,TBOT,162,177
