,Pattern,Start_bar,End_bar
0,RTOP,17,31
1,RTOP,25,37
2,RTOP,266,283
3,BTOP,31,64
4,HS,129,151
5,HS,262,276
6,IHS,141,156
7,BBOT,273,294
