,Pattern,Start_bar,End_bar
0,TBOT,74,91
1,TBOT,228,259
2,HS,88,113
3,HS,254,267
4,HS,301,316
5,HS,316,343
6,IHS,91,122
7,TTOP,94,123
8,RTOP,261,277
9,BBOT,311,340
