,Pattern,Start_bar,End_bar
0,BBOT,101,128
1,BTOP,108,136
2,BTOP,262,295
3,TBOT,140,165
4,TBOT,280,309
5,RTOP,151,171
6,RTOP,254,276
7,HS,171,182
