,Pattern,Start_bar,End_bar
0,HS,17,37
1,HS,291,316
2,IHS,32,58
3,IHS,58,74
4,IHS,74,84
5,IHS,84,107
6,IHS,164,186
7,TTOP,60,79
8,TTOP,136,165
9,RTOP,72,81
10,RTOP,79,91
11,BTOP,81,105
12,TBOT,217,248
13,BBOT,290,308
