,Pattern,Start_bar,End_bar
0,HS,45,77
1,HS,77,99
2,HS,212,234
3,HS,259,283
4,HS,325,350
5,IHS,73,95
6,IHS,142,155
7,IHS,206,228
8,IHS,280,301
9,TBOT,80,101
10,TBOT,217,239
11,TTOP,92,102
12,BTOP,205,221
13,RTOP,252,276
14,BBOT,255,280
