,Pattern,Start_bar,End_bar
0,TTOP,77,94
1,TTOP,254,270
2,IHS,217,235
3,IHS,324,339
4,TBOT,249,269
5,RTOP,315,325
6,RTOP,319,333
7,RTOP,325,343
